lds_id	  line 	drop 	sch 	lineinfo	system_key	sch_seq 	glo_seq		count	freeway	Dir	ca_pm	lds_name
1204756	31	5	5	5	1123005744	26489	1357649		19	133	N	9.37	LA PAZ 1                
1201547	31	6	5	5	1123005744	26489	1357649		19	133	N	9.77	LA PAZ 2                
1201531	31	7	5	5	1123005744	26489	1357649		19	133	N	10.05	ALICIA 1                
1201564	31	8	5	5	1123005744	26489	1357649		19	133	N	10.5	ALICIA 2                
1201516	31	9	5	5	1123005744	26489	1357649		19	133	N	10.73	EL TORO 1               
1201502	31	11	5	5	1123005744	26489	1357649		19	133	N	11.08	EL TORO 2               
1204802	31	16	5	5	1123005744	26489	1357649		19	133	N	11.35	RED ROBIN               
1204793	31	17	5	5	1123005744	26489	1357649		19	133	N	12.05	LAKE FOR2               
1204813	31	18	5	5	1123005744	26489	1357649		18	133	N	12.42	OLDFIELD                
1204776	31	20	5	5	1123005744	26489	1357649		18	133	N	12.77	BAKE 1                  
1209055	34	3	31	31	1123006127	26475	1357632		18	133	S	9	BAKE 2                  
1209226	34	4	31	31	1123006127	26475	1357632		19	133	S	11.7	ALTON 2                 
1201489	34	5	31	31	1123006127	26475	1357632		19	73	N	23.2	ALTON 3                 
1208936	34	19	31	31	1123006127	26475	1357632		18	73	N	23.9	N OF 133                
1211667	36	7	32	32	1123006146	26478	1357615		13	73	N	24.1	N OF BONITA             
1211685	36	8	32	32	1123006146	26478	1357615		13	73	N	25.7	BISON 2                 
1211694	36	9	32	32	1123006146	26478	1357615		19	73	N	26.7	SAND CANYON 2           
1211719	36	10	32	32	1123006146	26478	1357615		13	73	N	27.4	MACARTHUR 2             
1211710	36	11	32	32	1123006146	26478	1357615		19	73	S	23.5	N OF SAND CNYN          
1211726	36	12	32	32	1123006146	26478	1357615		19	73	S	23.7	JEFFREY 1               
1211733	36	13	32	32	1123006146	26478	1357615		19	73	S	25.25	JEFFREY 2               
1211742	36	14	32	32	1123006146	26478	1357615		20	73	S	26.3	CAMPUS                  
1211754	36	15	32	32	1123006146	26478	1357615		19	73	S	27.2	CULVER 1                
1211762	36	16	32	32	1123006146	26478	1357615		20	73	S	27.72	N OF 55                 
1211774	36	17	32	32	1123006146	26478	1357615		19	55	N	3.11	CULVER 2                
1204539	45	1	11	11	1123005841	26484	1357646		20	55	N	3.96	BEAR 2                  
1204553	45	2	11	11	1123005841	26484	1357646		16	55	N	4.58	JAMBOREE 1              
1204566	45	3	11	11	1123005841	26484	1357646		16	55	N	5.51	JAMBOREE 2              
1204578	45	4	11	11	1123005841	26484	1357646		19	55	N	5.8	TUSTIN RANCH            
1204537	45	5	11	11	1123005841	26484	1357646		19	55	N	6.94	RED HILL                
1204608	45	6	11	11	1123005841	26484	1357646		19	55	N	7.16	NEWPORT                 
1204622	45	7	11	11	1123005841	26484	1357646		18	55	N	7.85	B ST.                   
1204637	45	8	11	11	1123005841	26484	1357646		18	55	N	8.12	S OF 55                 
1204551	45	9	11	11	1123005841	26484	1357646		18	55	N	9.41	N OF 55                 
1204666	45	10	11	11	1123005841	26484	1357646		19	55	N	10	4TH                     
1204721	45	11	11	11	1123005841	26484	1357646		18	55	N	10.2	CONCORD                 
1204742	45	12	11	11	1123005841	26484	1357646		19	55	N	11.1	GRAND 2                 
1204564	45	13	11	11	1123005841	26484	1357646		18	55	N	11.74	17TH 2                  
1204706	45	15	11	11	1123005841	26484	1357646		18	55	N	12	17TH 3                  
1204576	45	17	11	11	1123005841	26484	1357646		18	55	S	3.6	N OF 5
1204606	45	19	11	11	1123005841	26484	1357646		16	55	S	4.7	IRVINE C1               
1204620	45	20	11	11	1123005841	26484	1357646		16	55	S	5.06	IRVINE C2               
1201202	46	1	36	36	1123006209	26472	1357644		16	55	S	6.88	S OF 133                
1201176	46	2	36	36	1123006209	26472	1357644		16	55	S	7.03	AT 133                  
1201245	46	3	36	36	1123006209	26472	1357644		16	55	S	7.62	N OF 133                
1201321	46	4	36	36	1123006209	26472	1357644		16	55	S	9.19	SAND CANYON             
1201388	46	5	36	36	1123006209	26472	1357644		19	55	S	10	FAIR 1                  
1201190	46	6	36	36	1123006209	26472	1357644		20	55	S	10.4	JEFFREY 1               
1201164	46	7	36	36	1123006209	26472	1357644		20	55	S	10.5	JEFFREY 2               
1201275	46	8	36	36	1123006209	26472	1357644		19	55	S	10.84	BAKER 1                 
1201261	46	9	36	36	1123006209	26472	1357644		20	55	S	11.62	YALE                    
1201231	46	10	36	36	1123006209	26472	1357644		3	5	N	16.51	SPRUCE                  
1201356	46	11	36	36	1123006209	26472	1357644		19	5	N	16.69	BAKER 2                 
1201339	46	12	36	36	1123006209	26472	1357644		20	5	N	17.43	CULVER 1                
1201306	46	13	36	36	1123006209	26472	1357644		20	5	N	17.63	CULVER 2                
1201371	46	14	36	36	1123006209	26472	1357644		20	5	N	18.61	HARVARD                 
1201289	46	15	36	36	1123006209	26472	1357644		20	5	N	18.82	JAMBOREE1               
1201216	46	16	36	36	1123006209	26472	1357644		19	5	N	19.33	MACARTHU1               
1201043	46	17	36	36	1123006209	26472	1357644		20	5	N	20	JAMBOREE2               
1201411	46	18	36	36	1123006209	26472	1357644		19	5	N	20.23	MACARTHU2               
1201057	46	19	36	36	1123006209	26472	1357644		19	5	N	20.59	DYER 1                  
1201069	46	20	36	36	1123006209	26472	1357644		20	5	N	20.94	MACARTHUR1              
1205111	50	1	13	13	1123005873	24148	1357650		20	5	N	22.1	RED HILL                
1205128	50	2	13	13	1123005873	24148	1357650		3	5	N	22.2	N OF 55                 
1205146	50	3	13	13	1123005873	24148	1357650		20	5	N	23.2	BARRANCA2               
1203244	50	4	13	13	1123005873	24148	1357650		19	5	N	24.05	EDINGER 1               
1203211	50	5	13	13	1123005873	24148	1357650		18	5	N	24.5	BRISTOL 2               
1203196	50	6	13	13	1123005873	24148	1357650		19	5	N	25.08	MCFADDEN                
1203165	50	7	13	13	1123005873	24148	1357650		20	5	N	25.15	FAIRVIEW                
1203176	50	8	13	13	1123005873	24148	1357650		18	5	N	26.56	S OF 5                  
1203153	50	9	13	13	1123005873	24148	1357650		20	5	N	26.81	N OF 73                 
1203115	50	10	13	13	1123005873	24148	1357650		18	5	N	27.55	N OF 5                  
1203140	50	11	13	13	1123005873	24148	1357650		20	5	N	27.7	FOURTH 1                
1203129	50	12	13	13	1123005873	24148	1357650		18	5	N	28.1	HARBOR 1                
1203103	50	13	13	13	1123005873	24148	1357650		18	5	N	29.24	HARBOR 2                
1203226	50	14	13	13	1123005873	24148	1357650		20	5	N	29.79	17TH 1                  
1203062	50	16	13	13	1123005873	24148	1357650		17	5	N	30	IRVINE BLVD 1           
1203044	50	17	13	13	1123005873	24148	1357650		20	5	N	30.2	HAMPSHIRE               
1203026	50	18	13	13	1123005873	24148	1357650		19	5	N	30.4	LA PAZ 1                
1203085	50	20	13	13	1123005873	24148	1357650		19	5	N	31.23	LA PAZ 2                
1203293	56	1	14	14	1123005892	26482	1357643		19	5	N	31.4	ALICIA 1                
1203274	56	2	14	14	1123005892	26482	1357643		19	5	N	31.9	ALICIA 2                
1203321	56	3	14	14	1123005892	26482	1357643		19	5	N	32.5	EL TORO 1               
1203335	56	4	14	14	1123005892	26482	1357643		19	5	N	32.6	EL TORO 2               
1203307	56	5	14	14	1123005892	26482	1357643		18	5	S	16.3	LAKE FOREST 1           
1212485	56	15	14	14	1123005892	26482	1357643		18	5	S	16.5	LAKE FOREST 2           
1208935	56	16	14	14	1123005892	26482	1357643		18	5	S	17.26	BAKE 1                  
1208931	56	17	14	14	1123005892	26482	1357643		18	5	S	17.49	BAKE 2                  
1208932	56	18	14	14	1123005892	26482	1357643		18	5	S	18.5	At 405                  
1208934	56	19	14	14	1123005892	26482	1357643		19	5	S	18.7	ALTON 1                 
1201119	73	1	18	18	1123005950	26481	1357636		18	5	S	19.8	BARRANCA                
1201130	73	2	18	18	1123005950	26481	1357636		18	5	S	19.9	S OF 133                
1201133	73	3	18	18	1123005950	26481	1357636		18	5	S	20.59	N OF 133                
1201092	73	4	18	18	1123005950	26481	1357636		18	5	S	20.95	S OF SAND CNYN          
1201150	73	5	18	18	1123005950	26481	1357636		13	5	S	21.25	BISON 1                 
1201105	73	6	18	18	1123005950	26481	1357636		19	5	S	21.92	SAND CANYON 1           
1209051	73	7	18	18	1123005950	26481	1357636		13	5	S	22.75	MACARTHUR 1             
1209054	73	11	18	18	1123005950	26481	1357636		19	5	S	23.05	JEFFREY 1               
1201136	73	12	18	18	1123005950	26481	1357636		20	5	S	23.1	ORCHID                  
1201080	73	13	18	18	1123005950	26481	1357636		16	5	S	23.5	YALE                    
1204941	73	15	18	18	1123005950	26481	1357636		19	5	S	23.69	S OF 55                 
1205068	73	16	18	18	1123005950	26481	1357636		19	5	S	24.84	CULVER 1                
1205019	73	17	18	18	1123005950	26481	1357636		19	5	S	25.8	CULVER 2                
1205034	73	18	18	18	1123005950	26481	1357636		20	5	S	26.35	BEAR 1                  
1205051	73	19	18	18	1123005950	26481	1357636		16	5	S	26.66	JAMBOREE 1              
1209050	73	20	18	18	1123005950	26481	1357636		16	5	S	27.43	JAMBOREE 2              
1204649	74	1	19	19	1123005967	26480	1357638		20	5	S	27.7	FAIRVIEW                
1204664	74	4	19	19	1123005967	26480	1357638		19	5	S	28.35	TUSTIN RANCH            
1204696	74	5	19	19	1123005967	26480	1357638		19	5	S	29.02	RED HILL                
1204698	74	6	19	19	1123005967	26480	1357638		18	5	S	30.6	WILLIAMS                
1204694	74	7	19	19	1123005967	26480	1357638		19	5	S	30.9	1ST                     
1204700	74	8	19	19	1123005967	26480	1357638		19	5	S	31.6	GRAND 1                 
1204681	74	15	19	19	1123005967	26480	1357638		19	5	S	32	GRAND 2                 
1204702	74	17	19	19	1123005967	26480	1357638		19	5	S	32.25	17TH 1                  
1201117	74	18	19	19	1123005967	26480	1357638		20	5	S	33	MAIN 1                  
                                                                                                                													
                                                                                                                													
